latitude,longitude
-6.973,110.375
-1.417,120.658
-3.442,114.763
-10.733,123.067
-1.183,136.117
5.874,95.34
-.892,134.049
1.55,98.883
1.117,104.117
-1.867,136.233
2.155,117.432
-3.7,128.083
5.227,96.95
-2.767,101.367
2.85,117.333
-2.746,107.755
-2.705,111.673
-4.067,138.95
-.485,117.157
-.353,102.335
-8.489,117.412
-5.067,119.55
-10.5,121.833
.923,104.532
-5.062,119.554
4.25,96.117
-.479,104.579
-3.25,127.083
-.883,100.35
-3.4,116.217
-8.641,122.237
-10.167,123.667
5.524,95.42
-3.864,102.339
-2.567,140.483
-5.242,105.179
-6.117,106.133
-7.38,112.787
-3.917,136.367
-1.817,109.963
-7.217,112.717
1.767,109.3
-2.225,113.943
1.533,124.917
1.017,120.8
-7.733,109.017
-5.85,112.633
-6.293,106.57
-.919,119.91
-8.54,118.687
-5.467,122.617
-8.467,140.383
-6.1,140.3
-9.667,120.333
-2.898,104.701
-8.267,122.967
.831,127.381
-.151,109.404
-8.749,115.167
-6.126,106.656
-7.983,131.3
.461,101.445
-8.217,114.383
-2.883,132.25
-4.717,136.433
-4.1,122.433
3.327,117.566
-2.55,120.367
-6.7,106.933
.637,122.85
3.558,98.672
-.95,114.9
3.8,98.7
-8.217,124.567
-6.75,108.267
1.166,97.705
-1.638,103.644
-1.039,122.772
-8.75,116.267
-6.183,106.833
-6.967,110.417
-3.368,135.496
.064,111.473
1.817,127.833
-3.645,133.696
3.683,125.528
3.2,106.25
-2.17,106.13
-1.268,116.894
-6.5,106.75
-6.85,109.15
